"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","snr","magsys","flux","fluxerr","instrument_id"
732813216,60695.44592589978,,,19.0385,ztfi,ZTF,,ab,,88.0237770591344,1
732813217,60695.495243099984,,,19.9007,ztfr,ZTF,,ab,,39.78505840979127,1
732813218,60695.52914350014,,,19.7097,ztfg,ZTF,,ab,,47.43730412685542,1
732813219,60698.50923610013,,,19.6365,ztfr,ZTF,,ab,,50.745787908064855,1
732813220,60699.55498840008,,,19.5771,ztfi,ZTF,,ab,,53.59940886627035,1
732813221,60705.409548600204,,,19.9431,ztfr,ZTF,,ab,,38.26132449900259,1
732813222,60707.54951390019,,,19.5396,ztfi,ZTF,,ab,,55.48300822656319,1
732813223,60710.4728472,,,19.7174,ztfr,ZTF,,ab,,47.10207070095081,1
732813224,60710.4914119998,,,20.5087,ztfr,ZTF,,ab,,22.725842892352137,1
732813225,60710.5341897998,,,19.7825,ztfr,ZTF,,ab,,44.36086439314325,1
732813226,60714.56704859994,,,19.7276,ztfr,ZTF,,ab,,46.661640137626755,1
732813227,60715.55443290016,,,19.0771,ztfg,ZTF,,ab,,84.94933823209172,1
732813228,60716.46979170013,,,18.8369,ztfg,ZTF,,ab,,105.98392521904296,1
732813229,60716.51189809991,,,19.8304,ztfr,ZTF,,ab,,42.44631571307794,1
732813230,60716.537419000175,,,19.5919,ztfi,ZTF,,ab,,52.87373621190253,1
732813231,60721.49878469994,,,19.35,ztfr,ZTF,,ab,,66.06934480075944,1
732813232,60721.533194399904,,,19.4168,ztfg,ZTF,,ab,,62.1269452354964,1
732813233,60723.455613399856,,,18.8657,ztfg,ZTF,,ab,,103.20957744737207,1
732813234,60725.44819439994,,,19.9923,ztfg,ZTF,,ab,,36.56621428655931,1
732813235,60725.48697920004,,,20.3594,ztfr,ZTF,,ab,,26.07594161693378,1
732813236,60727.446909700055,,,20.1229,ztfg,ZTF,,ab,,32.42201482268493,1
732813237,60727.47153940005,,,20.2064,ztfr,ZTF,,ab,,30.022026225883828,1
732813238,60729.43299769983,,,20.4748,ztfg,ZTF,,ab,,23.446606780007027,1
732813239,60729.4671180998,,,19.7722,ztfi,ZTF,,ab,,44.78370290264096,1
732813241,60731.526458300184,,,20.5779,ztfr,ZTF,,ab,,21.322592150992385,1
732813242,60732.528182900045,,,19.8053,ztfi,ZTF,,ab,,43.439018114510056,1
732813243,60733.349108799826,,,19.5535,ztfg,ZTF,,ab,,54.77722156556583,1
732813244,60733.38190970011,,,19.8653,ztfr,ZTF,,ab,,41.10361319319117,1
732813245,60743.33888889989,,,19.5717,ztfr,ZTF,,ab,,53.8666540502095,1
732813246,60743.40638889978,,,19.7282,ztfr,ZTF,,ab,,46.63586108601897,1
732813247,60743.45113429986,,,19.9674,ztfg,ZTF,,ab,,37.41450467174455,1
732813248,60750.400636599865,,,19.4831,ztfg,ZTF,,ab,,58.44670064790923,1
732813249,60750.4015740999,,,19.559,ztfg,ZTF,,ab,,54.50043893417603,1
732813250,60750.44450230012,,,19.9453,ztfr,ZTF,,ab,,38.18387503167898,1
732813251,60751.33113430021,,,19.0272,ztfr,ZTF,,ab,,88.94468471537787,1
732813252,60751.3994907001,,,18.2859,ztfg,ZTF,,ab,,176.05160956738428,1
732813253,60753.43072920013,,,19.6453,ztfr,ZTF,,ab,,50.3361505647066,1
732813254,60753.50569440005,,,19.5229,ztfg,ZTF,,ab,,56.343004228586466,1
732813255,60755.50780089991,,,20.1201,ztfr,ZTF,,ab,,32.50573571176601,1
732813256,60756.41228009993,,,20.5514,ztfg,ZTF,,ab,,21.84942437847309,1
732813257,60756.5051851999,,,20.4372,ztfr,ZTF,,ab,,24.272806848713213,1
732813258,60758.365601900034,,,20.3784,ztfr,ZTF,,ab,,25.62359137959209,1
732813259,60758.43394679995,,,20.5537,ztfg,ZTF,,ab,,21.803188022654563,1
732813260,60758.485046300106,,,20.4019,ztfr,ZTF,,ab,,25.07494562925909,1
732813261,60760.45378470002,,,17.8017,ztfg,ZTF,,ab,,274.9919622457742,1
732813262,60761.45503470022,,,19.3425,ztfr,ZTF,,ab,,66.527315620174,1
732813263,60762.44186339993,,,19.8002,ztfr,ZTF,,ab,,43.643543045781676,1
732813264,60771.41482640011,,,20.366,ztfr,ZTF,,ab,,25.917911346159435,1
732813265,60773.34293980012,,,19.8805,ztfg,ZTF,,ab,,40.53218348593207,1
732813266,60773.36797450017,,,19.8058,ztfr,ZTF,,ab,,43.41901831287496,1
732813267,60774.27952549979,,,19.7095,ztfr,ZTF,,ab,,47.446043206076524,1
732813268,60775.27866900014,,,19.6948,ztfr,ZTF,,ab,,48.09279304894537,1
732813269,60775.34290509997,,,19.6896,ztfg,ZTF,,ab,,48.3236800265703,1
732813270,60775.39342590002,,,19.9014,ztfr,ZTF,,ab,,39.759416301641465,1
732813271,60775.4207175998,,,20.0189,ztfr,ZTF,,ab,,35.68124504163551,1
732813272,60776.35004629986,,,19.9917,ztfr,ZTF,,ab,,36.58642710783542,1
732813273,60780.40261569992,,,19.8171,ztfr,ZTF,,ab,,42.96947029863607,1
732813274,60785.32489580009,,,20.6884,ztfg,ZTF,,ab,,19.259277907868906,1
732813275,60787.411018500105,,,20.8588,ztfg,ZTF,,ab,,16.46190154724474,1
732813276,60789.39627309982,,,20.7707,ztfr,ZTF,,ab,,17.853361549614203,1
732813277,60794.321886599995,,,20.4836,ztfr,ZTF,,ab,,23.25733775674282,1
732813278,60794.406990699936,,,20.6978,ztfg,ZTF,,ab,,19.093256195084635,1
732813279,60795.20581019996,,,20.2822,ztfr,ZTF,,ab,,27.997548136110407,1
732813280,60795.21763890004,,,20.2211,ztfr,ZTF,,ab,,29.6182912894571,1
732813281,60795.45711810002,,,20.6531,ztfr,ZTF,,ab,,19.895735561551128,1
732813282,60797.33920140006,,,20.8696,ztfg,ZTF,,ab,,16.298963980654236,1
732813283,60797.36325229984,,,20.7498,ztfr,ZTF,,ab,,18.200360907707157,1
732813284,60803.42890049983,,,20.0478,ztfg,ZTF,,ab,,34.744014691855966,1
732813285,60805.30730320001,,,19.7706,ztfg,ZTF,,ab,,44.849747257463946,1
732813286,60805.380891200155,,,19.8312,ztfr,ZTF,,ab,,42.41505163138554,1
732813287,60807.24450229993,,,19.4617,ztfg,ZTF,,ab,,59.610120535258694,1
732813288,60807.33792820014,,,19.5382,ztfr,ZTF,,ab,,55.554596806195015,1
732813289,60807.37057870021,,,19.3402,ztfr,ZTF,,ab,,66.66839501798842,1
732813290,60811.37371530011,,,20.2323,ztfr,ZTF,,ab,,29.314331854667806,1
732813291,60811.42591439979,,,19.9236,ztfg,ZTF,,ab,,38.95471219099703,1
732813292,60814.40482639987,,,20.1398,ztfr,ZTF,,ab,,31.921258122510583,1
732813293,60816.32940969989,,,20.5365,ztfg,ZTF,,ab,,22.151339841371907,1
732813294,60818.32192130014,,,20.7708,ztfg,ZTF,,ab,,17.85171726997069,1
732813295,60820.29800930014,,,19.9163,ztfr,ZTF,,ab,,39.21750855866705,1
732813296,60820.362071800046,,,20.81,ztfg,ZTF,,ab,,17.218685749860068,1
732813297,60820.37446760014,,,20.5711,ztfg,ZTF,,ab,,21.456555286058542,1
732813298,60821.30788190011,,,20.6643,ztfg,ZTF,,ab,,19.691554419671377,1
732813299,60822.320983800106,,,20.8077,ztfg,ZTF,,ab,,17.255200101808548,1
732813300,60823.31219909992,,,20.7579,ztfg,ZTF,,ab,,18.065084610859863,1
732813301,60824.37983800005,,,20.9264,ztfg,ZTF,,ab,,15.468207879960039,1
732813302,60828.32714120019,,,20.6497,ztfg,ZTF,,ab,,19.958137024939393,1
732813303,60829.297604199965,,,20.3817,ztfg,ZTF,,ab,,25.545828956098187,1
732813304,60830.4157292,,,20.2714,ztfg,ZTF,,ab,,28.27743416869585,1
732813305,60835.26556710014,,,19.9132,ztfr,ZTF,,ab,,39.32964261210626,1
732813306,60835.290161999874,,,19.5678,ztfg,ZTF,,ab,,54.06049276450967,1
732813307,60835.43531250022,,,19.5083,ztfg,ZTF,,ab,,57.10577107450287,1
732813308,60837.25901619997,,,19.7179,ztfr,ZTF,,ab,,47.080384389622814,1
732813309,60839.24267360009,,,20.0544,ztfg,ZTF,,ab,,34.53345255261652,1
732813310,60839.29832179984,,,20.1728,ztfr,ZTF,,ab,,30.96563568864926,1
732813311,60843.27668979997,,,20.6919,ztfg,ZTF,,ab,,19.19729329224501,1
732813312,60843.32502309978,,,20.322,ztfr,ZTF,,ab,,26.989820734720144,1
732813313,60844.38541670004,,,20.184,ztfr,ZTF,,ab,,30.647849053700245,1
732813314,60845.23381939996,,,20.7126,ztfg,ZTF,,ab,,18.834756069865325,1
732813315,60845.26223379979,,,20.6874,ztfr,ZTF,,ab,,19.27702452972077,1
732813316,60847.24802079983,,,20.5623,ztfg,ZTF,,ab,,21.63116947896759,1
732813317,60847.26526620006,,,20.5953,ztfr,ZTF,,ab,,20.983600052179156,1
732813318,60849.24069439992,,,20.3893,ztfr,ZTF,,ab,,25.367636153282646,1
732813319,60849.38401619997,,,20.5288,ztfr,ZTF,,ab,,22.308994683991184,1
732813320,60849.40265050018,,,20.4197,ztfg,ZTF,,ab,,24.667208232307715,1
732813321,60852.285439800005,,,20.4655,ztfg,ZTF,,ab,,23.648304020392253,1
732813322,60852.299594900105,,,20.4298,ztfr,ZTF,,ab,,24.438806906932502,1
732813323,60853.38064809982,,,20.2068,ztfr,ZTF,,ab,,30.010967739849374,1
732813324,60854.3119907002,,,20.5836,ztfg,ZTF,,ab,,21.21094412871089,1
732813325,60854.333159700036,,,20.576,ztfr,ZTF,,ab,,21.359938601897916,1
732813326,60856.286886599846,,,20.4873,ztfr,ZTF,,ab,,23.178215691580245,1
732813327,60856.33157410007,,,20.2668,ztfg,ZTF,,ab,,28.397492923995486,1
732813328,60858.276481499895,,,20.532,ztfr,ZTF,,ab,,22.243339984851087,1
732813329,60858.327372699976,,,20.5779,ztfg,ZTF,,ab,,21.322592150992385,1
732813330,60860.191064800136,,,20.3299,ztfg,ZTF,,ab,,26.79415096704978,1
732813331,60860.34263890004,,,20.4985,ztfr,ZTF,,ab,,22.94034790669743,1
732556923,60900.18140049977,,,21.22312886327903,ztfg,ZTF,,ab,,11.769240963519179,1
732556915,60900.18140049977,,,20.641700744628906,ztfg,ZTF,,ab,,20.105723335084022,1
732813332,60900.18140049977,,,20.6417,ztfg,ZTF,,ab,,20.10573712416818,1
732556924,60900.28158560023,,,20.161815900720296,ztfr,ZTF,,ab,,31.28049663870522,1
732556916,60900.28158560023,,,19.75909996032715,ztfr,ZTF,,ab,,45.32731727859054,1
732813333,60900.28158560023,,,19.7591,ztfr,ZTF,,ab,,45.32731562232828,1
732556925,60902.21789349988,,,21.04868532477367,ztfg,ZTF,,ab,,13.82056729921834,1
732556917,60902.21789349988,,,20.49049949645996,ztfg,ZTF,,ab,,23.110013619108422,1
732813334,60902.21789349988,,,20.4905,ztfg,ZTF,,ab,,23.110002901206204,1
732556926,60902.28218750004,,,20.56222522598869,ztfr,ZTF,,ab,,21.632659256136154,1
732556918,60902.28218750004,,,19.966800689697266,ztfr,ZTF,,ab,,37.4351626250447,1
732813335,60902.28218750004,,,19.9668,ztfr,ZTF,,ab,,37.43518640516497,1
732556927,60904.177766200155,,,21.123109518227807,ztfg,ZTF,,ab,,12.90494603284438,1
732556919,60904.177766200155,,,20.628299713134766,ztfg,ZTF,,ab,,20.35542220284538,1
732813336,60904.177766200155,,,20.6283,ztfg,ZTF,,ab,,20.355416824686163,1
732556928,60904.21663190005,,,21.011803880164976,ztfr,ZTF,,ab,,14.298103877141552,1
732556920,60904.21663190005,,,20.490400314331055,ztfr,ZTF,,ab,,23.112124817974923,1
732813337,60904.21663190005,,,20.4904,ztfr,ZTF,,ab,,23.112131509157884,1
732813338,60905.18836810021,21.010073748311115,0.09427687936798898,21.5225,ztfg,ZTF,11.516463124751912,ab,14.320906216371913,1.243516004978344,1
732813339,60905.195543999784,21.162362901307983,0.07358192091293585,21.7714,ztfg,ZTF,14.755475139644727,ab,12.446717697417741,0.843532151938377,1
732813340,60905.24317129981,21.307926928896137,0.12600243435954508,21.4837,ztfr,ZTF,8.616787526977502,ab,10.885019927225922,1.2632341105251839,1
732813341,60905.28376160003,21.00493948477583,0.13690523675339908,20.9626,ztfg,ZTF,7.930567380076298,ab,14.388787742045778,1.8143453113070136,1
732813342,60905.28733799979,21.398610444420328,0.18151384969823148,21.0779,ztfg,ZTF,5.981561222811242,ab,10.012806473147874,1.673945329684682,1
732915304,60906.15342250001,21.83369547966576,0.19160973501429876,21.969537343075313,ztfg,SEDM,5.666393749133399,ab,6.706899646093125,1.1836275315528253,2
732915619,60906.157914800104,21.69705304072187,0.4197073557526515,20.981572378104566,ztfr,SEDM,2.5868886734451046,ab,7.606393408695308,2.940363644858921,2
732916299,60906.16241789982,,,22.2,ztfi,SEDM,,ab,,4.7863009232263805,2
733029305,60906.90659,22.11,0.17,22.81,ztfg,IOO,6.386683557400761,ab,5.1999599653351565,0.8141878204235666,33
733029306,60906.91239,21.75,0.14,22.74,ztfr,IOO,7.755258605415209,ab,7.244359600749891,0.9341222477986,33
733029307,60906.91816,21.61,0.11,22.85,ztfi,IOO,9.870329134164813,ab,8.241381150130017,0.8349651808067462,33
733023149,60907.15256129997,,,22.5,ztfg,SEDM,,ab,,3.630780547701009,2
733023151,60907.15710010007,21.83074941779651,0.2614680565429388,21.629088609773756,ztfr,SEDM,4.152462136726929,ab,6.7251230162541615,1.6195507134846665,2
733023153,60907.16164760012,19.6350924907615,0.04423637783720604,21.36252938271639,ztfi,SEDM,24.54396715648236,ab,50.811615575502,2.070228307084498,2