"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","snr","magsys","flux","instrument_id","fluxerr"
782134207,61027.39998839982,,,19.958999633789062,ztfr,ZTF,,ab,,1,37.705104300994975
782134208,61027.434652800206,,,20.629100799560547,ztfg,ZTF,,ab,,1,20.340408944423984
782134209,61029.42320600012,,,20.57740020751953,ztfr,ZTF,,ab,,1,21.332409751591587
782134210,61029.45999999996,,,20.76420021057129,ztfg,ZTF,,ab,,1,17.960561744188144
782134221,61030.37261570012,,,20.11240005493164,ztfr,ZTF,,ab,,1,32.73708288965055
782134211,61031.42223379994,,,20.399700164794922,ztfr,ZTF,,ab,,1,25.125802059128176
782134212,61031.4448032002,,,20.608699798583984,ztfg,ZTF,,ab,,1,20.726218896265987
782134213,61038.419953700155,,,20.082199096679688,ztfg,ZTF,,ab,,1,33.660484385667395
784968164,61038.419953700155,,,20.0822,ztfg,ZTF,,ab,,1,33.660456380534555
782134230,61038.44167819992,,,20.365743662805443,ztfr,ZTF,,ab,,1,25.924031165128238
782134214,61038.44167819992,,,19.9468994140625,ztfr,ZTF,,ab,,1,38.1276672110375
784968165,61038.44167819992,,,19.9469,ztfr,ZTF,,ab,,1,38.12764663474662
782134222,61049.357777799945,,,19.674299240112305,ztfg,ZTF,,ab,,1,49.009503626633666
784968166,61049.357777799945,,,19.6743,ztfg,ZTF,,ab,,1,49.009469325755155
782134231,61050.38131939992,,,20.20517989579877,ztfg,ZTF,,ab,,1,30.055782666442273
782134215,61050.38131939992,,,19.665800094604492,ztfg,ZTF,,ab,,1,49.394655652441834
784968167,61050.38131939992,,,19.6658,ztfg,ZTF,,ab,,1,49.39465995639381
784968168,61050.4586920999,20.497071347039164,0.2695479275230645,19.7355,ztfr,ZTF,4.0279894367402465,ab,22.970553556817247,1,5.702734308907909
782134223,61050.4586920999,,,19.73550033569336,ztfr,ZTF,,ab,,1,46.32334004531102
784968169,61051.39634260023,20.469709269571062,0.236939331029286,19.92,ztfr,ZTF,4.582338440990749,ab,23.556799860532514,1,5.140781320255186
782134224,61051.39634260023,,,19.920000076293945,ztfr,ZTF,,ab,,1,39.08408683282784
782134225,61051.43457179982,,,19.83769989013672,ztfg,ZTF,,ab,,1,42.16188738787647
784968170,61051.43457179982,,,19.8377,ztfg,ZTF,,ab,,1,42.16188312160709
782134232,61052.36196759995,,,20.543967570380765,ztfg,ZTF,,ab,,1,21.999508179217933
782134216,61052.36196759995,,,20.01729965209961,ztfg,ZTF,,ab,,1,35.733877080408455
784968171,61052.36196759995,,,20.0173,ztfg,ZTF,,ab,,1,35.733865630271936
782134233,61052.422847200185,,,20.43063522417145,ztfr,ZTF,,ab,,1,24.420014097914752
782134217,61052.422847200185,,,19.898500442504883,ztfr,ZTF,,ab,,1,39.865739356291684
784968172,61052.422847200185,,,19.8985,ztfr,ZTF,,ab,,1,39.86575560405783
784968173,61053.39019680023,21.040466923595726,0.28940648294407334,20.2738,ztfg,ZTF,3.751596003355404,ab,13.92557801155609,1,3.7119076785189926
782134226,61053.39019680023,,,20.273799896240234,ztfg,ZTF,,ab,,1,28.214999148786614
784968174,61054.360671299975,20.69727011138749,0.18519038222145212,20.3326,ztfr,ZTF,5.862810971791167,ab,19.10257684612469,1,3.2582624509022162
782134234,61054.360671299975,20.696772934878986,0.18724652848941342,20.85762428717202,ztfr,ZTF,5.798431690654895,ab,19.111326234095007,1,3.2959474653975804
782134218,61054.360671299975,,,20.332599639892578,ztfr,ZTF,,ab,,1,26.727611134898826
782134235,61054.42302080011,,,20.679423573234935,ztfg,ZTF,,ab,,1,19.419165843151475
782134219,61054.42302080011,,,20.2898006439209,ztfg,ZTF,,ab,,1,27.80223708153369
784968175,61054.42302080011,,,20.2898,ztfg,ZTF,,ab,,1,27.80225357029654
782134237,61055.39346060017,20.952665804907447,0.22662728504873378,20.90627110387034,ztfg,ZTF,4.790845041119622,ab,15.098495644664254,1,3.1515307873818705
784968176,61055.39346060017,20.948700083047985,0.22571259628635862,20.3916,ztfg,ZTF,4.810259695833148,ab,15.153744717595407,1,3.150296590165855
782134227,61055.39346060017,20.802999893604294,0.3583450019359588,20.259132304024682,ztfg,ZTF,3.0298628385841564,ab,17.33005905151367,1,5.7197503566240435
784968177,61056.24170139991,21.33446488261704,0.14487243083768592,21.2789,ztfg,ZTF,7.494429398886672,ab,10.622189548469393,1,1.417344668034015
782134228,61056.24170139991,21.271006052496404,0.19474692642688748,21.3892153111098,ztfg,ZTF,5.575113428892752,ab,11.261534690856921,1,2.019965124385554
784968178,61056.31038190005,20.87372378910536,0.2297135560481898,20.3151,ztfr,ZTF,4.726478591147496,ab,16.237175483793987,1,3.435364229556771
784968179,61056.3562384001,,,20.085,ztfg,ZTF,,ab,,1,33.5737614242954
784968180,61057.20813659998,,,17.3257,ztfg,ZTF,,ab,,1,426.30458146097095
784968181,61057.40856479993,,,19.8763,ztfg,ZTF,,ab,,1,40.689279527203155
784968182,61058.20462960005,,,19.3043,ztfg,ZTF,,ab,,1,68.90964300439884
784968183,61058.37826390006,,,20.2977,ztfg,ZTF,,ab,,1,27.600693858200554
784968184,61059.20229170006,,,19.8726,ztfg,ZTF,,ab,,1,40.82817804592473
784968185,61059.3914005002,21.73950828534362,0.35435897265109767,20.745,ztfg,ZTF,3.0639444420873936,ab,7.314702810826445,1,2.3873483834592997
784968186,61060.30608800007,20.93606943003829,0.2459489451209661,20.2878,ztfr,ZTF,4.414477989422265,ab,15.331061577038433,1,3.4729047497289374
784968187,61060.35240740003,,,20.5787,ztfg,ZTF,,ab,,1,21.306886871235918
784968188,61061.196909700055,,,19.9039,ztfg,ZTF,,ab,,1,39.667972181695106
784968189,61061.338379600085,,,19.838,ztfr,ZTF,,ab,,1,42.15023497210435